setting,subset,n,difference,explained_menref,explained_womenref,unexplained_menref,unexplained_womenref,explained_flip,unexplained_flip,any_flip,error,arch,n_params
2,All Patients,3429,0.0078818040435458,0.0116039367660766,0.0080435724348436,-0.0037221327225307,-0.0001617683912978,False,False,False,,2,17
2,ICUType 1.0,490,0.0294939989088925,0.0257421021490674,0.014366959357243,0.003751896759825,0.0151270395516494,False,False,False,,2,17
2,ICUType 2.0,643,-0.000975689080413,-0.0040701221619505,0.0050829590984417,0.0030944330815375,-0.0060586481788547,True,True,True,,2,17
2,ICUType 3.0,1357,-0.0217764843549488,0.0113051113753724,-0.0078868055824302,-0.0330815957303213,-0.0138896787725186,True,False,True,,2,17
2,ICUType 4.0,939,0.0202084035501629,0.0261165381186767,0.0089703967767473,-0.0059081345685138,0.0112380067734155,False,True,True,,2,17
2,Age decile 0,374,0.046026807780653,0.0170128621837236,0.0178776766781893,0.0290139455969293,0.0281491311024636,False,False,False,,2,17
2,Age decile 1,344,0.0273634472301562,0.0290420061467743,0.0009573362848438,-0.0016785589166181,0.0264061109453124,False,True,True,,2,17
2,Age decile 2,347,0.0042864169770219,0.003245004433291,0.0025415281062958,0.0010414125437309,0.0017448888707261,False,False,False,,2,17
2,Age decile 3,325,0.0096292729898892,0.0154100350819861,-0.0213058894927122,-0.0057807620920968,0.0309351624826014,True,True,True,,2,17
2,Age decile 4,372,-0.0152359717577108,0.0062740536282836,-0.0008793402575459,-0.0215100253859945,-0.0143566315001649,True,False,True,,2,17
2,Age decile 5,344,-0.0250497851378262,0.0163576329989477,-0.0317174130513518,-0.0414074181367739,0.0066676279135256,True,True,True,,2,17
2,Age decile 6,397,-0.0004719207173194,0.0258162098978129,-0.0064869612722116,-0.0262881306151324,0.0060150405548921,True,True,True,,2,17
2,Age decile 7,247,0.0173747705218987,0.0326178211580674,0.0019607389764885,-0.0152430506361686,0.0154140315454102,False,True,True,,2,17
2,Age decile 8,354,-0.0216450216450216,0.0356570359696199,-0.0478044797978296,-0.0573020576146416,0.0261594581528079,True,True,True,,2,17
2,Age decile 9,325,-0.0771864301276066,0.0440082623011496,-0.0846062245569735,-0.1211946924287562,0.0074197944293668,True,True,True,,2,17
2,HR quartile 0,877,0.0371049136786188,0.0267881031709299,-0.0016769641187908,0.0103168105076889,0.0387818777974097,True,False,True,,2,17
2,HR quartile 1,917,-0.0169849537037037,0.0123057626682251,0.0104518467529799,-0.0292907163719288,-0.0274368004566836,False,False,False,,2,17
2,HR quartile 2,816,0.034861311019492,-2.493184818355698e-05,0.0031463611927612,0.0348862428676756,0.0317149498267308,True,False,True,,2,17
2,HR quartile 3,819,-0.0232600311906863,0.0194615495791541,-0.0177654885430851,-0.0427215807698404,-0.0054945426476011,True,False,True,,2,17
2,MAP quartile 0,877,-0.0141240285818599,0.011840727865444,-0.0099857927073445,-0.0259647564473039,-0.0041382358745153,True,False,True,,2,17
2,MAP quartile 1,840,0.02392179413456,0.0107224651374938,0.0074450758108038,0.0131993289970662,0.0164767183237562,False,False,False,,2,17
2,MAP quartile 2,866,0.0104058609958506,0.0132315447297239,0.0005702009667901,-0.0028256837338732,0.0098356600290605,False,True,True,,2,17
2,MAP quartile 3,846,0.0090927756430939,0.0211246488480714,0.0042691460233289,-0.0120318732049775,0.0048236296197649,False,True,True,,2,17
2,Temp quartile 0,902,0.0068727157158747,0.0153015332982752,-0.0109505651952451,-0.0084288175824004,0.0178232809111199,True,True,True,,2,17
2,Temp quartile 1,864,0.0305627470437901,0.0181643810660864,0.0125517731246392,0.0123983659777037,0.0180109739191509,False,False,False,,2,17
2,Temp quartile 2,838,-0.0036346905912123,0.004030612326749,0.0033067191416164,-0.0076653029179614,-0.0069414097328288,False,False,False,,2,17
2,Temp quartile 3,825,-0.0023612750885478,0.0041691101745907,-0.000763180488213,-0.0065303852631385,-0.0015980946003348,True,False,True,,2,17
2,Urine quartile 0,859,-0.0313289760348584,0.0096997625087853,-0.012400202427102,-0.0410287385436437,-0.0189287736077563,True,False,True,,2,17
2,Urine quartile 1,913,-0.0210526315789473,0.0120666025063759,0.0090726524098325,-0.0331192340853232,-0.0301252839887799,False,False,False,,2,17
2,Urine quartile 2,802,0.0149901230333403,0.0155348380869818,0.0065317075435098,-0.0005447150536414,0.0084584154898305,False,True,True,,2,17
2,Urine quartile 3,855,0.0601118199903958,0.0152247939520795,-0.0081511777121402,0.0448870260383162,0.068262997702536,True,False,True,,2,17
2,SAPS quartile 0,1025,0.0026756349262149,0.0012930118868828,0.0007156777042499,0.001382623039332,0.0019599572219649,False,False,False,,2,17
2,SAPS quartile 1,946,0.0452124666297511,0.008727958756562,0.0108244354397221,0.0364845078731891,0.0343880311900289,False,False,False,,2,17
2,SAPS quartile 2,660,0.0015384615384615,0.0108846819647999,-0.0155940685439327,-0.0093462204263383,0.0171325300823942,True,True,True,,2,17
2,SAPS quartile 3,798,-0.0389986891196934,0.0285797462088902,-0.0222311316970476,-0.0675784353285836,-0.0167675574226457,True,False,True,,2,17
2,HR > 100,945,-0.0351262896411669,0.0106418733827382,-0.018532047260672,-0.0457681630239052,-0.0165942423804949,True,False,True,,2,17
2,MAP < 65,697,-0.0279136809159047,0.020849947175598,-0.0256080464515262,-0.0487636280915028,-0.0023056344643785,True,False,True,,2,17
2,Temp > 38C,267,-0.0430204913392958,0.019243525494702,-0.0237007536769958,-0.0622640168339978,-0.0193197376622999,True,False,True,,2,17
2,Urine > 1000,210,0.0458952811893988,0.0207604591681041,-0.0026954384261863,0.0251348220212947,0.0485907196155851,True,False,True,,2,17
2,Random 50% #1,1714,0.0148182289884191,0.0087745642893392,0.0018881064302542,0.0060436646990799,0.0129301225581649,False,False,False,,2,17
2,Random 50% #2,1714,0.0038708396744524,0.0115448681223613,0.0016161679797807,-0.0076740284479088,0.0022546716946717,False,True,True,,2,17
2,Random 50% #3,1714,0.0221853388658367,0.0131745802618615,0.0040442316069848,0.0090107586039752,0.0181411072588519,False,False,False,,2,17
2,Random 50% #4,1714,0.0209444740819774,0.0114927296091139,0.0028395159992856,0.0094517444728634,0.0181049580826918,False,False,False,,2,17
2,Random 50% #5,1714,0.025145147627017,0.010672432037825,0.0031118212656428,0.014472715589192,0.0220333263613742,False,False,False,,2,17
2,Random 50% #6,1714,-0.0032358828377694,0.0085647219066145,0.0048137204857156,-0.011800604744384,-0.008049603323485,False,False,False,,2,17
2,Random 50% #7,1714,0.0203886964648963,0.0133844932259189,0.0047740938264282,0.0070042032389773,0.0156146026384681,False,False,False,,2,17
2,Random 50% #8,1714,-0.0080211409064465,0.0137621755688752,0.0093080314452467,-0.0217833164753217,-0.0173291723516933,False,False,False,,2,17
2,Random 50% #9,1714,-0.0018808498325041,0.0119886779037368,0.0028481916259735,-0.013869527736241,-0.0047290414584777,False,False,False,,2,17
2,Random 50% #10,1714,0.0032849222618878,0.0118218891054425,0.0032593014976623,-0.0085369668435547,2.562076422549242e-05,False,True,True,,2,17
2,Random 50% #11,1714,0.0064028840624585,0.0106232508806577,0.0080264648616057,-0.0042203668181991,-0.0016235807991472,False,False,False,,2,17
2,Random 50% #12,1714,-0.0033234372422892,0.0137801866817806,0.0031446251519283,-0.0171036239240699,-0.0064680623942176,False,False,False,,2,17
2,Random 50% #13,1714,0.0032517955657333,0.0116059060094329,0.0048296477307639,-0.0083541104436996,-0.0015778521650306,False,False,False,,2,17
2,Random 50% #14,1714,0.0062157191184681,0.0078888024983816,0.0089145708549995,-0.0016730833799134,-0.0026988517365313,False,False,False,,2,17
2,Random 50% #15,1714,0.0026854501430772,0.0131368386466784,0.0055787158420253,-0.0104513885036011,-0.0028932656989481,False,False,False,,2,17
2,Random 50% #16,1714,0.0188052608311229,0.0136414200499387,0.0013013328457542,0.0051638407811841,0.0175039279853687,False,False,False,,2,17
2,Random 50% #17,1714,0.0073507410721795,0.0102618879681189,0.0082515664784064,-0.0029111468959394,-0.0009008254062268,False,False,False,,2,17
2,Random 50% #18,1714,0.0251803786741562,0.016942473753034,0.0051828340353597,0.0082379049211221,0.0199975446387964,False,False,False,,2,17
2,Random 50% #19,1714,0.0087463233253787,0.0109526172619764,0.0020963280738257,-0.0022062939365976,0.006649995251553,False,True,True,,2,17
2,Random 50% #20,1714,0.0239488541873964,0.0105690884066311,0.006592825316451,0.0133797657807652,0.0173560288709453,False,False,False,,2,17
2,Random 50% #21,1714,0.0016605879752431,0.0091731971740877,0.0049283597585937,-0.0075126091988445,-0.0032677717833505,False,False,False,,2,17
2,Random 50% #22,1714,0.0178287222426975,0.0156726291194126,0.007332470420474,0.0021560931232849,0.0104962518222235,False,False,False,,2,17
2,Random 50% #23,1714,-0.0051929851771431,0.0111128245308479,0.0047801111552824,-0.016305809707991,-0.0099730963324256,False,False,False,,2,17
2,Random 50% #24,1714,0.0201698382197979,0.0149453664094885,0.0052835731081,0.0052244718103094,0.0148862651116978,False,False,False,,2,17
2,Random 50% #25,1714,0.0024135223603308,0.0110397989229877,0.0034162829236537,-0.0086262765626569,-0.0010027605633228,False,False,False,,2,17
2,Random 50% #26,1714,-0.0063986093578627,0.0087912720970422,-1.5931680011016525e-05,-0.0151898814549049,-0.0063826776778516,True,False,True,,2,17
2,Random 50% #27,1714,-0.0048317683881064,0.0158197734900779,0.0031099767666817,-0.0206515418781843,-0.0079417451547882,False,False,False,,2,17
2,Random 50% #28,1714,0.0098094573797898,0.0114831428141258,0.0033956057492239,-0.0016736854343359,0.0064138516305659,False,True,True,,2,17
2,Random 50% #29,1714,0.0125552608311229,0.0075195788251236,0.0055671006138021,0.0050356820059992,0.0069881602173207,False,False,False,,2,17
2,Random 50% #30,1714,0.0022139615866539,0.0072746727785991,-0.0010936663200136,-0.0050607111919452,0.0033076279066676,True,True,True,,2,17
2,Random 50% #31,1714,0.0081502190717898,0.0041503846456721,-0.0003831313089883,0.0039998344261177,0.0085333503807782,True,False,True,,2,17
2,Random 50% #32,1714,-0.0092920029904661,0.008181172878125,0.0007219015612325,-0.0174731758685912,-0.0100139045516987,False,False,False,,2,17
2,Random 50% #33,1714,-0.002514181228832,0.0108818217606377,0.0065193132621048,-0.0133960029894697,-0.0090334944909369,False,False,False,,2,17
2,Random 50% #34,1714,0.0070180513371488,0.0058932567861567,-0.0016132362408574,0.001124794550992,0.0086312875780062,True,False,True,,2,17
2,Random 50% #35,1714,0.0093248828878478,0.0111050692522107,0.0045587358094967,-0.0017801863643628,0.0047661470783511,False,True,True,,2,17
2,Random 50% #36,1714,0.016912667846362,0.0119202107349701,0.0047531522466708,0.0049924571113918,0.0121595155996911,False,False,False,,2,17
2,Random 50% #37,1714,0.0036653828805384,0.0113320762627457,0.0054960886331998,-0.0076666933822072,-0.0018307057526613,False,False,False,,2,17
2,Random 50% #38,1714,0.0021576191788371,0.0134343608827086,0.0069908981229802,-0.0112767417038715,-0.0048332789441431,False,False,False,,2,17
2,Random 50% #39,1714,0.0170086158804934,0.0111571132790211,0.006543090017875,0.0058515026014722,0.0104655258626183,False,False,False,,2,17
2,Random 50% #40,1714,0.018520937100027,0.0144621647731121,0.0076964039628698,0.0040587723269149,0.0108245331371572,False,False,False,,2,17
2,Random 50% #41,1714,0.0027199322354597,0.0097926735478297,0.0029693740856309,-0.00707274131237,-0.0002494418501711,False,False,False,,2,17
2,Random 50% #42,1714,0.0178900300253214,0.0104377250119375,0.001637489680321,0.0074523050133838,0.0162525403450003,False,False,False,,2,17
2,Random 50% #43,1714,0.0169958506224066,0.0191199245640758,0.0054092554253193,-0.0021240739416692,0.0115865951970872,False,True,True,,2,17
2,Random 50% #44,1714,-0.0080414937759336,0.0066443923143242,3.71360959359468e-05,-0.0146858860902578,-0.0080786298718695,False,False,False,,2,17
2,Random 50% #45,1714,-0.0006684003732017,0.0121237046493032,0.0019946251077581,-0.0127921050225049,-0.0026630254809598,False,False,False,,2,17
2,Random 50% #46,1714,-0.0127567411871579,0.0039735820207341,0.002807163752309,-0.0167303232078921,-0.0155639049394669,False,False,False,,2,17
2,Random 50% #47,1714,-0.0023071888899981,0.0116981719827905,0.006914644718069,-0.0140053608727886,-0.0092218336080671,False,False,False,,2,17
2,Random 50% #48,1714,0.0007707867678387,0.0153928110076215,0.0108297820960251,-0.0146220242397827,-0.0100589953281864,False,False,False,,2,17
2,Random 50% #49,1714,-0.0052585890287469,0.0100608920517811,0.0006969431044061,-0.0153194810805281,-0.0059555321331531,False,False,False,,2,17
2,Random 50% #50,1714,-0.009935439192208,0.0074367072780328,-0.0006036407007247,-0.0173721464702408,-0.0093317984914833,True,False,True,,2,17
2,Random 30% #1,1028,0.0177032019704433,0.0045276209863875,0.0033225569779413,0.0131755809840557,0.014380644992502,False,False,False,,2,17
2,Random 30% #2,1028,-0.0188812287552644,-0.0017396084001349,-0.0056914655584826,-0.0171416203551295,-0.0131897631967818,False,False,False,,2,17
