depth,seed,total,explained,unexplained,n_errors,n_params
1,0,37,18,27,0,257
1,1,30,6,28,0,257
1,2,31,13,23,0,257
2,0,65,40,54,0,1313
2,1,49,27,39,0,1313
2,2,57,34,44,0,1313
3,0,76,60,64,0,2369
3,1,61,40,47,0,2369
3,2,72,50,61,0,2369
4,0,88,66,74,0,3425
4,1,69,49,60,0,3425
4,2,70,51,57,0,3425
6,0,76,57,68,0,5537
6,1,61,42,52,0,5537
6,2,75,63,58,0,5537
8,0,74,56,56,0,7649
8,1,71,57,54,0,7649
8,2,62,44,47,0,7649
12,0,57,39,47,0,11873
12,1,76,56,66,0,11873
12,2,76,64,66,0,11873
16,0,61,46,50,0,16097
16,1,57,42,45,0,16097
16,2,78,65,63,0,16097
