setting,subset,n,difference,explained_menref,explained_womenref,unexplained_menref,unexplained_womenref,explained_flip,unexplained_flip,any_flip,error,depth,seed,n_params
d=1 s=0,All Patients,3429,0.0078818040435458,0.0184471891564147,0.0198752706813465,-0.0105653851128688,-0.0119934666378006,False,False,False,,1,0,257
d=1 s=0,ICUType 1.0,490,0.0294939989088925,0.0350939426355978,0.0430312277512571,-0.0055999437267053,-0.0135372288423646,False,False,False,,1,0,257
d=1 s=0,ICUType 2.0,643,-0.000975689080413,-0.0016378182545629,0.0092559568464095,0.0006621291741499,-0.0102316459268226,True,True,True,,1,0,257
d=1 s=0,ICUType 3.0,1357,-0.0217764843549488,0.0047755941963827,0.0148559111683577,-0.0265520785513316,-0.0366323955233066,False,False,False,,1,0,257
d=1 s=0,ICUType 4.0,939,0.0202084035501629,0.0288125654272019,0.0257226262244789,-0.008604161877039,-0.005514222674316,False,False,False,,1,0,257
d=1 s=0,Age decile 0,374,0.046026807780653,0.0360460142212891,0.000757602911092,0.0099807935593639,0.0452692048695609,False,False,False,,1,0,257
d=1 s=0,Age decile 1,344,0.0273634472301562,0.0495933574209868,-0.0038502445795126,-0.0222299101908306,0.0312136918096688,True,True,True,,1,0,257
d=1 s=0,Age decile 2,347,0.0042864169770219,-0.019667438370476,0.0451066889261378,0.023953855347498,-0.0408202719491158,True,True,True,,1,0,257
d=1 s=0,Age decile 3,325,0.0096292729898892,0.0332245077792169,0.0567032711684458,-0.0235952347893276,-0.0470739981785565,False,False,False,,1,0,257
d=1 s=0,Age decile 4,372,-0.0152359717577108,0.0289318373599994,-0.0157120907369087,-0.0441678091177103,0.0004761189791978,True,True,True,,1,0,257
d=1 s=0,Age decile 5,344,-0.0250497851378262,0.0118171976479077,0.0030425807940704,-0.0368669827857339,-0.0280923659318966,False,False,False,,1,0,257
d=1 s=0,Age decile 6,397,-0.0004719207173194,0.037359785551961,0.0159935036575715,-0.0378317062692805,-0.016465424374891,False,False,False,,1,0,257
d=1 s=0,Age decile 7,247,0.0173747705218987,0.0462771339500426,-0.0007374217970942,-0.0289023634281438,0.018112192318993,True,True,True,,1,0,257
d=1 s=0,Age decile 8,354,-0.0216450216450216,0.0294814387444203,-0.0121934108544509,-0.0511264603894419,-0.0094516107905707,True,False,True,,1,0,257
d=1 s=0,Age decile 9,325,-0.0771864301276066,0.0380409823023673,-0.0119110002124172,-0.1152274124299739,-0.0652754299151893,True,False,True,,1,0,257
d=1 s=0,HR quartile 0,877,0.0371049136786188,0.0451849002020255,0.0170277280568496,-0.0080799865234067,0.0200771856217692,False,True,True,,1,0,257
d=1 s=0,HR quartile 1,917,-0.0169849537037037,0.0046544134993287,0.0121065304018073,-0.0216393672030324,-0.029091484105511,False,False,False,,1,0,257
d=1 s=0,HR quartile 2,816,0.034861311019492,0.0148894487347169,0.0322018985885944,0.0199718622847751,0.0026594124308976,False,False,False,,1,0,257
d=1 s=0,HR quartile 3,819,-0.0232600311906863,0.0136448268565177,0.0135685731587588,-0.036904858047204,-0.0368286043494452,False,False,False,,1,0,257
d=1 s=0,MAP quartile 0,877,-0.0141240285818599,0.0223227094929736,0.0108023006163557,-0.0364467380748335,-0.0249263291982156,False,False,False,,1,0,257
d=1 s=0,MAP quartile 1,840,0.02392179413456,-0.0024875574841625,0.0452275743776194,0.0264093516187226,-0.0213057802430593,True,True,True,,1,0,257
d=1 s=0,MAP quartile 2,866,0.0104058609958506,0.0126778552981021,0.0049268720521426,-0.0022719943022515,0.0054789889437079,False,True,True,,1,0,257
d=1 s=0,MAP quartile 3,846,0.0090927756430939,0.0329077141832923,0.027413411315201,-0.0238149385401984,-0.0183206356721071,False,False,False,,1,0,257
d=1 s=0,Temp quartile 0,902,0.0068727157158747,0.0218544882357351,0.0225422349374366,-0.0149817725198603,-0.0156695192215618,False,False,False,,1,0,257
d=1 s=0,Temp quartile 1,864,0.0305627470437901,0.0176319600304273,0.0113035971986027,0.0129307870133628,0.0192591498451873,False,False,False,,1,0,257
d=1 s=0,Temp quartile 2,838,-0.0036346905912123,0.0293220651568347,0.020698714154068,-0.032956755748047,-0.0243334047452803,False,False,False,,1,0,257
d=1 s=0,Temp quartile 3,825,-0.0023612750885478,-0.0014230498729066,0.0045851078858155,-0.0009382252156411,-0.0069463829743633,True,False,True,,1,0,257
d=1 s=0,Urine quartile 0,859,-0.0313289760348584,0.0165375328266551,0.0283467861672173,-0.0478665088615135,-0.0596757622020757,False,False,False,,1,0,257
d=1 s=0,Urine quartile 1,913,-0.0210526315789473,0.0004162353149394,-0.0118115270596015,-0.0214688668938867,-0.0092411045193458,True,False,True,,1,0,257
d=1 s=0,Urine quartile 2,802,0.0149901230333403,0.022157683176875,0.0194873201810827,-0.0071675601435347,-0.0044971971477424,False,False,False,,1,0,257
d=1 s=0,Urine quartile 3,855,0.0601118199903958,0.0246621559276129,-0.0007484957980232,0.0354496640627828,0.0608603157884191,True,False,True,,1,0,257
d=1 s=0,SAPS quartile 0,1025,0.0026756349262149,0.0043708467169653,0.0011184462538377,-0.0016952117907504,0.0015571886723772,False,True,True,,1,0,257
d=1 s=0,SAPS quartile 1,946,0.0452124666297511,0.0089770619214584,0.0233719400785489,0.0362354047082927,0.0218405265512021,False,False,False,,1,0,257
d=1 s=0,SAPS quartile 2,660,0.0015384615384615,0.018425280905981,0.0052255795975672,-0.0168868193675195,-0.0036871180591056,False,False,False,,1,0,257
d=1 s=0,SAPS quartile 3,798,-0.0389986891196934,0.0294493006074756,0.0244064591987658,-0.068447989727169,-0.0634051483184593,False,False,False,,1,0,257
d=1 s=0,HR > 100,945,-0.0351262896411669,-0.0082348618987629,0.018211871531422,-0.0268914277424039,-0.053338161172589,True,False,True,,1,0,257
d=1 s=0,MAP < 65,697,-0.0279136809159047,0.0248876366731835,0.0083341781092118,-0.0528013175890883,-0.0362478590251166,False,False,False,,1,0,257
d=1 s=0,Temp > 38C,267,-0.0430204913392958,0.0073031741292701,6.907027255473319e-05,-0.0503236654685659,-0.0430895616118505,False,False,False,,1,0,257
d=1 s=0,Urine > 1000,210,0.0458952811893988,0.0621190107857645,-0.0199146176579591,-0.0162237295963656,0.0658098988473579,True,True,True,,1,0,257
d=1 s=0,Random 50% #1,1714,0.0148182289884191,0.0208648954752764,0.0135308871458509,-0.0060466664868572,0.0012873418425682,False,True,True,,1,0,257
d=1 s=0,Random 50% #2,1714,0.0038708396744524,0.0165552543666122,0.0110104127276925,-0.0126844146921597,-0.0071395730532401,False,False,False,,1,0,257
d=1 s=0,Random 50% #3,1714,0.0221853388658367,0.0187405355768948,0.0195504935591324,0.0034448032889419,0.0026348453067043,False,False,False,,1,0,257
d=1 s=0,Random 50% #4,1714,0.0209444740819774,0.0149981159967716,0.0177400182448528,0.0059463580852057,0.0032044558371245,False,False,False,,1,0,257
d=1 s=0,Random 50% #5,1714,0.025145147627017,0.0157438064221951,0.0235599685816046,0.0094013412048219,0.0015851790454124,False,False,False,,1,0,257
d=1 s=0,Random 50% #6,1714,-0.0032358828377694,0.0111623843136065,0.0147689646458264,-0.014398267151376,-0.0180048474835959,False,False,False,,1,0,257
d=1 s=0,Random 50% #7,1714,0.0203886964648963,0.0258951945023419,0.0215990586722777,-0.0055064980374455,-0.0012103622073814,False,False,False,,1,0,257
d=1 s=0,Random 50% #8,1714,-0.0080211409064465,0.0171007933878074,0.0194334747603282,-0.025121934294254,-0.0274546156667748,False,False,False,,1,0,257
d=1 s=0,Random 50% #9,1714,-0.0018808498325041,0.0126161067733359,0.0164955720986554,-0.0144969566058401,-0.0183764219311595,False,False,False,,1,0,257
d=1 s=0,Random 50% #10,1714,0.0032849222618878,0.0132903683888349,0.0210262125007577,-0.010005446126947,-0.0177412902388698,False,False,False,,1,0,257
d=1 s=0,Random 50% #11,1714,0.0064028840624585,0.0187353637833543,0.0230979780613863,-0.0123324797208958,-0.0166950939989278,False,False,False,,1,0,257
d=1 s=0,Random 50% #12,1714,-0.0033234372422892,0.0218830306590989,0.0160197955814975,-0.0252064679013882,-0.0193432328237868,False,False,False,,1,0,257
d=1 s=0,Random 50% #13,1714,0.0032517955657333,0.0143017085380136,0.0195686844421989,-0.0110499129722803,-0.0163168888764656,False,False,False,,1,0,257
d=1 s=0,Random 50% #14,1714,0.0062157191184681,0.0189818050449934,0.0064958243604873,-0.0127660859265252,-0.0002801052420191,False,False,False,,1,0,257
d=1 s=0,Random 50% #15,1714,0.0026854501430772,0.0181086348085739,0.0221625137114549,-0.0154231846654966,-0.0194770635683777,False,False,False,,1,0,257
d=1 s=0,Random 50% #16,1714,0.0188052608311229,0.025177288798906,0.0165877237785018,-0.0063720279677831,0.002217537052621,False,True,True,,1,0,257
d=1 s=0,Random 50% #17,1714,0.0073507410721795,0.008724534085069,0.0222261887531791,-0.0013737930128895,-0.0148754476809995,False,False,False,,1,0,257
d=1 s=0,Random 50% #18,1714,0.0251803786741562,0.0237187290007349,0.0289693389541063,0.0014616496734212,-0.00378896027995,False,True,True,,1,0,257
d=1 s=0,Random 50% #19,1714,0.0087463233253787,0.0148970558257462,0.0164709907854277,-0.0061507325003674,-0.0077246674600489,False,False,False,,1,0,257
d=1 s=0,Random 50% #20,1714,0.0239488541873964,0.0158691258081783,0.0279835291038253,0.008079728379218,-0.0040346749164289,False,True,True,,1,0,257
d=1 s=0,Random 50% #21,1714,0.0016605879752431,0.0130213361861691,0.0244987545409047,-0.0113607482109259,-0.0228381665656615,False,False,False,,1,0,257
d=1 s=0,Random 50% #22,1714,0.0178287222426975,0.0120743289116967,0.0200669466146058,0.0057543933310007,-0.0022382243719082,False,True,True,,1,0,257
d=1 s=0,Random 50% #23,1714,-0.0051929851771431,0.0123670697534716,0.0223240655524724,-0.0175600549306147,-0.0275170507296156,False,False,False,,1,0,257
d=1 s=0,Random 50% #24,1714,0.0201698382197979,0.0138946726663579,0.0295180287703579,0.0062751655534399,-0.0093481905505599,False,True,True,,1,0,257
