width,seed,total,explained,unexplained,n_errors,n_params
8,0,54,35,36,0,209
8,1,41,17,31,0,209
8,2,42,17,37,0,209
16,0,50,27,40,0,673
16,1,52,38,39,0,673
16,2,62,46,44,0,673
32,0,76,60,64,0,2369
32,1,61,40,47,0,2369
32,2,72,50,61,0,2369
64,0,86,59,80,0,8833
64,1,85,64,83,0,8833
64,2,96,83,85,0,8833
128,0,89,75,81,0,34049
128,1,96,73,85,0,34049
128,2,105,82,99,0,34049
256,0,97,78,86,0,133633
256,1,87,68,77,0,133633
256,2,99,78,89,0,133633
512,0,81,60,75,0,529409
512,1,84,67,74,0,529409
512,2,90,75,75,0,529409
768,0,80,68,66,0,1187329
768,1,83,67,71,0,1187329
768,2,96,77,86,0,1187329
