setting,subset,n,difference,explained_menref,explained_womenref,unexplained_menref,unexplained_womenref,explained_flip,unexplained_flip,any_flip,error,width,seed,n_params
w=8 s=0,All Patients,3429,0.0078818040435458,0.0055864643273641,0.0235291811547217,0.0022953397161817,-0.0156473771111758,False,True,True,,8,0,209
w=8 s=0,ICUType 1.0,490,0.0294939989088925,0.042708646345738,0.0539233848075657,-0.0132146474368454,-0.0244293858986732,False,False,False,,8,0,209
w=8 s=0,ICUType 2.0,643,-0.000975689080413,0.0012168643589747,-0.0023582964662463,-0.0021925534393877,0.0013826073858333,True,True,True,,8,0,209
w=8 s=0,ICUType 3.0,1357,-0.0217764843549488,0.0091605987398806,0.0085099302409104,-0.0309370830948295,-0.0302864145958593,False,False,False,,8,0,209
w=8 s=0,ICUType 4.0,939,0.0202084035501629,0.0302230503111589,0.0527255727357101,-0.010014646760996,-0.0325171691855472,False,False,False,,8,0,209
w=8 s=0,Age decile 0,374,0.046026807780653,0.0266488517073155,-0.014399576007781,0.0193779560733375,0.060426383788434,True,False,True,,8,0,209
w=8 s=0,Age decile 1,344,0.0273634472301562,0.0651669810476258,-0.0080699793738366,-0.0378035338174696,0.0354334266039928,True,True,True,,8,0,209
w=8 s=0,Age decile 2,347,0.0042864169770219,0.0626613339376265,0.0433405392503408,-0.0583749169606045,-0.0390541222733188,False,False,False,,8,0,209
w=8 s=0,Age decile 3,325,0.0096292729898892,0.040584825740915,0.0963885337352725,-0.0309555527510257,-0.0867592607453833,False,False,False,,8,0,209
w=8 s=0,Age decile 4,372,-0.0152359717577108,-0.0064266826569849,-0.0252537189196138,-0.0088092891007259,0.0100177471619029,False,True,True,,8,0,209
w=8 s=0,Age decile 5,344,-0.0250497851378262,0.0520345248273169,0.0274805092637298,-0.0770843099651431,-0.0525302944015561,False,False,False,,8,0,209
w=8 s=0,Age decile 6,397,-0.0004719207173194,0.0528814863588796,-0.0114852107088407,-0.0533534070761991,0.0110132899915212,True,True,True,,8,0,209
w=8 s=0,Age decile 7,247,0.0173747705218987,0.0665586570190061,-0.0006906004382485,-0.0491838864971073,0.0180653709601473,True,True,True,,8,0,209
w=8 s=0,Age decile 8,354,-0.0216450216450216,0.0193210866102384,0.0041476096230066,-0.0409661082552601,-0.0257926312680283,False,False,False,,8,0,209
w=8 s=0,Age decile 9,325,-0.0771864301276066,0.0368964712563186,-0.0380907228585715,-0.1140829013839252,-0.039095707269035,True,False,True,,8,0,209
w=8 s=0,HR quartile 0,877,0.0371049136786188,0.0306971347786611,0.0853196187533614,0.0064077788999577,-0.0482147050747426,False,True,True,,8,0,209
w=8 s=0,HR quartile 1,917,-0.0169849537037037,0.0243489302290167,0.0227380383597135,-0.0413338839327204,-0.0397229920634172,False,False,False,,8,0,209
w=8 s=0,HR quartile 2,816,0.034861311019492,-0.0064601301119815,0.0469242099909936,0.0413214411314736,-0.0120628989715015,True,True,True,,8,0,209
w=8 s=0,HR quartile 3,819,-0.0232600311906863,-0.0006083103620651,0.0305496864319331,-0.0226517208286211,-0.0538097176226194,True,False,True,,8,0,209
w=8 s=0,MAP quartile 0,877,-0.0141240285818599,0.0252391625732459,0.0270297526842454,-0.0393631911551058,-0.0411537812661053,False,False,False,,8,0,209
w=8 s=0,MAP quartile 1,840,0.02392179413456,0.0197763173998858,0.0123001032333369,0.0041454767346742,0.0116216909012231,False,False,False,,8,0,209
w=8 s=0,MAP quartile 2,866,0.0104058609958506,0.0349254719437746,0.0048621745512494,-0.024519610947924,0.0055436864446011,False,True,True,,8,0,209
w=8 s=0,MAP quartile 3,846,0.0090927756430939,-0.0078269136156259,0.0475447471445121,0.0169196892587198,-0.0384519715014182,True,True,True,,8,0,209
w=8 s=0,Temp quartile 0,902,0.0068727157158747,-0.0013050694718418,0.0318521126254117,0.0081777851877166,-0.024979396909537,True,True,True,,8,0,209
w=8 s=0,Temp quartile 1,864,0.0305627470437901,0.0040009121488953,0.0117221367854084,0.0265618348948948,0.0188406102583817,False,False,False,,8,0,209
w=8 s=0,Temp quartile 2,838,-0.0036346905912123,0.0229666846368465,0.0478056230369869,-0.0266013752280588,-0.0514403136281992,False,False,False,,8,0,209
w=8 s=0,Temp quartile 3,825,-0.0023612750885478,0.0113199387809637,0.0092623861654667,-0.0136812138695116,-0.0116236612540145,False,False,False,,8,0,209
w=8 s=0,Urine quartile 0,859,-0.0313289760348584,0.0118405231129789,0.0115854035308302,-0.0431694991478373,-0.0429143795656886,False,False,False,,8,0,209
w=8 s=0,Urine quartile 1,913,-0.0210526315789473,-0.0008185326690597,-0.0208467907650864,-0.0202340989098876,-0.0002058408138608,False,False,False,,8,0,209
w=8 s=0,Urine quartile 2,802,0.0149901230333403,-0.0006546259104681,0.0114105705976023,0.0156447489438084,0.003579552435738,True,False,True,,8,0,209
w=8 s=0,Urine quartile 3,855,0.0601118199903958,-0.0163647962586225,0.0045908827536,0.0764766162490183,0.0555209372367957,True,False,True,,8,0,209
w=8 s=0,SAPS quartile 0,1025,0.0026756349262149,0.002134582089399,0.0002024943109397,0.0005410528368159,0.0024731406152752,False,False,False,,8,0,209
w=8 s=0,SAPS quartile 1,946,0.0452124666297511,0.0278760976422102,-0.0011752674480257,0.0173363689875409,0.0463877340777769,True,False,True,,8,0,209
w=8 s=0,SAPS quartile 2,660,0.0015384615384615,0.0102470953534331,-0.0179613001129018,-0.0087086338149715,0.0194997616513633,True,True,True,,8,0,209
w=8 s=0,SAPS quartile 3,798,-0.0389986891196934,0.0206053046482147,0.0290398640380464,-0.0596039937679082,-0.0680385531577398,False,False,False,,8,0,209
w=8 s=0,HR > 100,945,-0.0351262896411669,0.0076693833070864,0.0036747516409643,-0.0427956729482534,-0.0388010412821313,False,False,False,,8,0,209
w=8 s=0,MAP < 65,697,-0.0279136809159047,0.0255576876404811,-0.0048950105695028,-0.0534713685563859,-0.0230186703464019,True,False,True,,8,0,209
