setting,subset,n,difference,explained_menref,explained_womenref,unexplained_menref,unexplained_womenref,explained_flip,unexplained_flip,any_flip,error,max_depth
depth 1,All Patients,3429,0.0078818040435458,0.0132238391812382,0.0187394986737465,-0.0053420351376924,-0.0108576946302006,False,False,False,,1
depth 1,ICUType 1.0,490,0.0294939989088925,0.0370023204188995,0.0418698161759017,-0.0075083215100069,-0.0123758172670092,False,False,False,,1
depth 1,ICUType 2.0,643,-0.000975689080413,-0.001751998937786,0.0058466243214869,0.000776309857373,-0.0068223134019,True,True,True,,1
depth 1,ICUType 3.0,1357,-0.0217764843549488,0.0017708896644636,0.004027018929242,-0.0235473740194125,-0.0258035032841909,False,False,False,,1
depth 1,ICUType 4.0,939,0.0202084035501629,0.0175853132996103,0.0367496839175481,0.0026230902505525,-0.0165412803673851,False,True,True,,1
depth 1,Age decile 0,374,0.046026807780653,0.0219205785136273,0.0131138799552378,0.0241062292670257,0.0329129278254152,False,False,False,,1
depth 1,Age decile 1,344,0.0273634472301562,0.02234092660107,0.0036654283187732,0.0050225206290862,0.023698018911383,False,False,False,,1
depth 1,Age decile 2,347,0.0042864169770219,-0.0093687048049892,0.0227434595065287,0.0136551217820112,-0.0184570425295067,True,True,True,,1
depth 1,Age decile 3,325,0.0096292729898892,0.0193248375510559,0.017079853631877,-0.0096955645611667,-0.0074505806419878,False,False,False,,1
depth 1,Age decile 4,372,-0.0152359717577108,-0.002005328228043,-0.0029173534050644,-0.0132306435296678,-0.0123186183526464,False,False,False,,1
depth 1,Age decile 5,344,-0.0250497851378262,0.0195852180493581,0.0181983714679377,-0.0446350031871844,-0.0432481566057639,False,False,False,,1
depth 1,Age decile 6,397,-0.0004719207173194,0.0022655949762268,0.0048918938725736,-0.0027375156935463,-0.0053638145898931,False,False,False,,1
depth 1,Age decile 7,247,0.0173747705218987,0.033630118563973,0.0224748164467384,-0.0162553480420742,-0.0051000459248396,False,False,False,,1
depth 1,Age decile 8,354,-0.0216450216450216,-0.0189538655891305,-0.0028324552012957,-0.0026911560558911,-0.0188125664437258,False,False,False,,1
depth 1,Age decile 9,325,-0.0771864301276066,0.0187586969342355,-0.0158178583854201,-0.0959451270618421,-0.0613685717421864,True,False,True,,1
depth 1,HR quartile 0,877,0.0371049136786188,0.0360024511007218,0.0353923278370028,0.001102462577897,0.0017125858416159,False,False,False,,1
depth 1,HR quartile 1,917,-0.0169849537037037,0.011053421899797,0.0147843693118588,-0.0280383756035007,-0.0317693230155625,False,False,False,,1
depth 1,HR quartile 2,816,0.034861311019492,0.0054627805459092,0.0186671196236823,0.0293985304735828,0.0161941913958097,False,False,False,,1
depth 1,HR quartile 3,819,-0.0232600311906863,0.0103985474588356,0.0120288458998866,-0.0336585786495219,-0.0352888770905729,False,False,False,,1
depth 1,MAP quartile 0,877,-0.0141240285818599,0.0028326499614282,0.0010620539292929,-0.0169566785432881,-0.0151860825111528,False,False,False,,1
depth 1,MAP quartile 1,840,0.02392179413456,0.0200192018465073,0.0281027121593626,0.0039025922880527,-0.0041809180248025,False,True,True,,1
depth 1,MAP quartile 2,866,0.0104058609958506,0.0112392444480442,0.0054184860473092,-0.0008333834521936,0.0049873749485414,False,True,True,,1
depth 1,MAP quartile 3,846,0.0090927756430939,0.0235692771453352,0.0362229103394204,-0.0144765015022413,-0.0271301346963265,False,False,False,,1
depth 1,Temp quartile 0,902,0.0068727157158747,0.0156120589819076,0.0226388612970616,-0.0087393432660328,-0.0157661455811868,False,False,False,,1
depth 1,Temp quartile 1,864,0.0305627470437901,0.0169650606606095,0.0258087250676048,0.0135976863831806,0.0047540219761853,False,False,False,,1
depth 1,Temp quartile 2,838,-0.0036346905912123,0.0046350137343981,0.0162922866590199,-0.0082697043256105,-0.0199269772502322,False,False,False,,1
depth 1,Temp quartile 3,825,-0.0023612750885478,-0.0002199881470042,0.010931975857693,-0.0021412869415435,-0.0132932509462408,True,False,True,,1
