setting,subset,n,difference,explained_menref,explained_womenref,unexplained_menref,unexplained_womenref,explained_flip,unexplained_flip,any_flip,error,n_estimators
trees 10,All Patients,3429,0.0078818040435458,0.0048838079443492,0.0049295248682246,0.0029979960991966,0.0029522791753212,False,False,False,,10
trees 10,ICUType 1.0,490,0.0294939989088925,0.017009600826254,0.0071876244555977,0.0124843980826384,0.0223063744532947,False,False,False,,10
trees 10,ICUType 2.0,643,-0.000975689080413,0.0005399687934111,-0.0024403885607542,-0.0015156578738242,0.0014646994803412,True,True,True,,10
trees 10,ICUType 3.0,1357,-0.0217764843549488,0.0021653574852864,0.0018790840227384,-0.0239418418402352,-0.0236555683776872,False,False,False,,10
trees 10,ICUType 4.0,939,0.0202084035501629,0.0095709946178968,0.0079210388310209,0.010637408932266,0.0122873647191419,False,False,False,,10
trees 10,Age decile 0,374,0.046026807780653,0.0128789201493203,0.0004762964877683,0.0331478876313327,0.0455505112928846,False,False,False,,10
trees 10,Age decile 1,344,0.0273634472301562,0.0073734110650754,-0.0024972315581455,0.0199900361650807,0.0298606787883017,True,False,True,,10
trees 10,Age decile 2,347,0.0042864169770219,0.0042943438029085,0.0072685055587579,-7.926825886572786e-06,-0.0029820885817359,False,False,False,,10
trees 10,Age decile 3,325,0.0096292729898892,0.0058086153709894,0.0052623865183408,0.0038206576188998,0.0043668864715483,False,False,False,,10
trees 10,Age decile 4,372,-0.0152359717577108,-0.0008629610168805,0.0008774571541581,-0.0143730107408303,-0.016113428911869,True,False,True,,10
trees 10,Age decile 5,344,-0.0250497851378262,0.0084183451224392,0.0066989953541007,-0.0334681302602655,-0.031748780491927,False,False,False,,10
trees 10,Age decile 6,397,-0.0004719207173194,0.0027819376599619,-0.0029823803195642,-0.0032538583772814,0.0025104596022448,True,True,True,,10
trees 10,Age decile 7,247,0.0173747705218987,0.0128610017422441,-0.0010914444227778,0.0045137687796546,0.0184662149446766,True,False,True,,10
trees 10,Age decile 8,354,-0.0216450216450216,0.0009506697649563,-0.0083916926682138,-0.0225956914099779,-0.0132533289768077,True,False,True,,10
trees 10,Age decile 9,325,-0.0771864301276066,0.0141116808746282,-0.0056520202450762,-0.0912981110022348,-0.0715344098825303,True,False,True,,10
trees 10,HR quartile 0,877,0.0371049136786188,0.0138262601756796,0.0068152765898432,0.0232786535029392,0.0302896370887756,False,False,False,,10
trees 10,HR quartile 1,917,-0.0169849537037037,0.0036814711798258,-0.001147421458621,-0.0206664248835295,-0.0158375322450826,True,False,True,,10
trees 10,HR quartile 2,816,0.034861311019492,0.0022666821108734,0.0032185630493918,0.0325946289086185,0.0316427479701002,False,False,False,,10
trees 10,HR quartile 3,819,-0.0232600311906863,0.0031828943467548,0.0029560701428949,-0.0264429255374411,-0.0262161013335812,False,False,False,,10
trees 10,MAP quartile 0,877,-0.0141240285818599,0.0040928644305295,0.0030572345820054,-0.0182168930123894,-0.0171812631638653,False,False,False,,10
trees 10,MAP quartile 1,840,0.02392179413456,0.008237819745494,0.0078749637470257,0.015683974389066,0.0160468303875343,False,False,False,,10
trees 10,MAP quartile 2,866,0.0104058609958506,0.0064517610022388,0.0017429510086232,0.0039540999936117,0.0086629099872273,False,False,False,,10
trees 10,MAP quartile 3,846,0.0090927756430939,0.0072395840943343,0.0076084420070967,0.0018531915487595,0.0014843336359972,False,False,False,,10
trees 10,Temp quartile 0,902,0.0068727157158747,0.0096046681716107,0.0039304325322448,-0.0027319524557359,0.0029422831836298,False,True,True,,10
trees 10,Temp quartile 1,864,0.0305627470437901,0.0074859232496949,0.0056161521005531,0.0230768237940952,0.024946594943237,False,False,False,,10
trees 10,Temp quartile 2,838,-0.0036346905912123,0.0024238473040524,0.0039409418513452,-0.0060585378952648,-0.0075756324425576,False,False,False,,10
trees 10,Temp quartile 3,825,-0.0023612750885478,0.0007864695052634,0.0043479372512304,-0.0031477445938112,-0.0067092123397782,False,False,False,,10
trees 10,Urine quartile 0,859,-0.0313289760348584,-0.0019570265823979,0.0018338508981083,-0.0293719494524604,-0.0331628269329667,True,False,True,,10
trees 10,Urine quartile 1,913,-0.0210526315789473,-0.0001361392600811,0.0019234756747501,-0.0209164923188662,-0.0229761072536975,True,False,True,,10
trees 10,Urine quartile 2,802,0.0149901230333403,0.009050811646887,0.0051638851490635,0.0059393113864533,0.0098262378842768,False,False,False,,10
trees 10,Urine quartile 3,855,0.0601118199903958,0.011307711547094,-0.0006398834592747,0.0488041084433017,0.0607517034496705,True,False,True,,10
trees 10,SAPS quartile 0,1025,0.0026756349262149,0.0028732377133672,0.0011872025602548,-0.0001976027871522,0.0014884323659601,False,True,True,,10
