sweep,setting,subset_name,subset_value,pop_name,y_name,delta_y,explained_1,unexplained_1,explained_0,unexplained_0,n_1,n_0,error,n_features,seconds,explained_flip,unexplained_flip,any_flip
nn_depth,d=1 s=0,naics_2,11,sex_female,pincp,-0.17442832844735356,0.050216580385606946,-0.23610712540299517,0.016310823005815323,-0.20220136802320354,1770,10168,,63,2.43,False,False,False
nn_depth,d=1 s=0,naics_2,11,sex_female,hicov,0.06072557308405235,-0.017961677307012813,0.07498139473454413,0.002670935224673654,0.05434878220285766,1770,10168,,63,5.69,True,False,True
nn_depth,d=1 s=0,naics_2,11,race_bw,pincp,-0.3082373735363646,1.7261567898423351,-2.063997305028135,-0.15683327855948193,-0.1810072366263178,198,10459,,62,1.71,True,False,True
nn_depth,d=1 s=0,naics_2,11,race_bw,hicov,-0.08277004677234145,-0.07023283685665227,-0.00943870162618321,-0.10627939191631008,0.026607853433474604,198,10459,,62,3.57,False,True,True
nn_depth,d=1 s=0,naics_2,11,immigrant,pincp,-0.5044989627739547,-0.2184776385294871,-0.3172219465170105,-0.1760617021110935,-0.3596378829354041,2454,9484,,63,2.68,False,False,False
nn_depth,d=1 s=0,naics_2,11,immigrant,hicov,-0.29192622963498427,-0.1009170839650193,-0.19553060032539737,-0.06454555793712335,-0.23190212635329333,2454,9484,,63,5.28,False,False,False
nn_depth,d=1 s=0,naics_2,21,sex_female,pincp,-0.1566003960737774,0.3155743308404677,-0.4665894821692831,0.13619142556561492,-0.2872065768944303,858,4828,,60,1.99,False,False,False
nn_depth,d=1 s=0,naics_2,21,sex_female,hicov,0.029791252657864087,-0.0035525844897351666,0.032875045533456104,-0.0015944333204934713,0.03091689436421441,858,4828,,60,1.78,False,False,False
nn_depth,d=1 s=0,naics_2,21,race_bw,pincp,-0.3229724667527538,0.41524901020222416,-0.7234328327802899,-0.09747499082178557,-0.2107088317562802,204,5009,,59,1.28,True,False,True
nn_depth,d=1 s=0,naics_2,21,race_bw,hicov,-0.03411114895149525,-0.023373534121667427,-0.011462955239626038,-0.03373469543033725,-0.0011017939309562186,204,5009,,59,1.58,False,False,False
nn_depth,d=1 s=0,naics_2,21,immigrant,pincp,0.04340662820095709,0.9649606424043728,-0.9240939463110731,0.16290385197256896,-0.12203715587926922,538,5148,,60,1.65,False,False,False
nn_depth,d=1 s=0,naics_2,21,immigrant,hicov,-0.029199631430114614,-0.01181575760890563,-0.018788309548721793,-0.005253700041096709,-0.025350367116530714,538,5148,,60,2.11,False,False,False
nn_depth,d=1 s=0,naics_2,22,sex_female,pincp,-0.16498741705883546,0.10398349530276185,-0.26614922019093257,0.05935454627532444,-0.22152027116349515,2383,8526,,63,2.28,False,False,False
nn_depth,d=1 s=0,naics_2,22,race_bw,pincp,-0.20612530453511546,0.26932612265621536,-0.464840487364679,-0.08566725780413442,-0.1098471069043292,778,9258,,62,2.13,True,False,True
nn_depth,d=1 s=0,naics_2,22,race_bw,hicov,-0.010228352495528115,-0.01589457892276014,0.004077359520093804,-0.011835053188060218,1.7833785393883694e-05,778,9258,,62,3.11,False,False,False
nn_depth,d=1 s=0,naics_2,22,immigrant,pincp,0.05236980693181259,0.5074833584740794,-0.4322009687777175,0.10841782263849353,-0.033135432942131615,791,10118,,63,1.98,False,False,False
nn_depth,d=1 s=0,naics_2,22,immigrant,hicov,-0.04415682556453315,-0.012568788483117377,-0.02832241833586302,-0.004228971763230893,-0.036662235055749504,791,10118,,63,3.94,False,False,False
nn_depth,d=1 s=0,naics_2,23,sex_female,pincp,-0.0626446456082057,0.10504576502448337,-0.1980892112377628,0.11749261166172076,-0.21053605787500018,5486,50901,,58,3.53,False,False,False
nn_depth,d=1 s=0,naics_2,23,sex_female,hicov,0.10012223552223276,0.018519382413262786,0.08764435021397976,0.03189611129332692,0.07426762133391562,5486,50901,,58,7.77,False,False,False
nn_depth,d=1 s=0,naics_2,23,race_bw,pincp,-0.2200815585744582,-0.05969476926950179,-0.1253316574858765,-0.04459934776991936,-0.14042707898545892,2207,47852,,57,4.02,False,False,False
nn_depth,d=1 s=0,naics_2,23,immigrant,pincp,-0.32078281195261127,-0.1445296726059926,-0.14690543394825895,-0.12239184445837381,-0.16904326209587772,11081,45306,,58,4.58,False,False,False
nn_depth,d=1 s=0,naics_2,23,immigrant,hicov,-0.3059844323527965,-0.10030263889792879,-0.20272669362763296,-0.06923921281632306,-0.2337901197092387,11081,45306,,58,4.81,False,False,False
nn_depth,d=1 s=0,naics_2,31,sex_female,pincp,-0.2629578528630354,-0.03614109801218213,-0.1977625634729634,-0.054084041296906804,-0.17981962018823872,6080,10147,,65,4.52,False,False,False
nn_depth,d=1 s=0,naics_2,31,race_bw,pincp,-0.303773085054587,-0.012408933937303246,-0.3056377519535687,-0.13930190254863817,-0.17874478334223376,1704,11987,,64,3.19,False,False,False
nn_depth,d=1 s=0,naics_2,31,race_bw,hicov,-0.015489638422845342,-0.027364049495487763,0.014523470216005085,-0.024404012034795475,0.011563432755312797,1704,11987,,64,5.28,False,False,False
nn_depth,d=1 s=0,naics_2,31,immigrant,pincp,-0.34096890087177734,-0.10711060764100644,-0.23787339344014846,-0.11388340416707798,-0.23110059691407692,3768,12459,,65,3.48,False,False,False
nn_depth,d=1 s=0,naics_2,31,immigrant,hicov,-0.12329223291887836,-0.025643145998184624,-0.09636529537047278,-0.036700328364894896,-0.08530811300376251,3768,12459,,65,6.52,False,False,False
nn_depth,d=1 s=0,naics_2,32,sex_female,pincp,-0.14835792196557485,0.08827004172750641,-0.2731477838429548,0.04192873002268627,-0.22680647213813465,8451,21977,,67,4.58,False,False,False
nn_depth,d=1 s=0,naics_2,32,sex_female,hicov,0.013688911235591239,-0.009405968291595124,0.022961298949007225,-0.011595185222265547,0.02515051587967765,8451,21977,,67,10.49,False,False,False
nn_depth,d=1 s=0,naics_2,32,race_bw,pincp,-0.2647300616488355,0.07118709302727488,-0.35005296557085686,-0.0979098440053825,-0.18095602853819948,2081,25276,,66,4.15,True,False,True
nn_depth,d=1 s=0,naics_2,32,race_bw,hicov,-0.011317819176341226,-0.024481810861963993,0.013318205035019681,-0.02273733066797412,0.011573724841029809,2081,25276,,66,10.32,False,False,False
nn_depth,d=1 s=0,naics_2,32,immigrant,pincp,-0.08673017505501157,0.05092773742658885,-0.1127353032344125,0.06649066867043274,-0.1282982344782564,4028,26400,,67,5.54,False,False,False
nn_depth,d=1 s=0,naics_2,32,immigrant,hicov,-0.07233731305106683,-0.03622269104289633,-0.03433848251928273,-0.016650477672188413,-0.053910695889990645,4028,26400,,67,10.14,False,False,False
nn_depth,d=1 s=0,naics_2,33,sex_female,pincp,-0.2637016416912381,-0.02678346545059007,-0.22766346916197655,-0.04521217605023864,-0.20923475856232798,16238,50594,,69,6.98,False,False,False
nn_depth,d=1 s=0,naics_2,33,race_bw,pincp,-0.32554110402042724,-0.03712676456653696,-0.31001389840322524,-0.16661962673514452,-0.18052103623461768,3920,54728,,68,5.78,False,False,False
nn_depth,d=1 s=0,naics_2,33,race_bw,hicov,-0.017633588298643477,-0.0264145609181069,0.006157536389892471,-0.024424707309181448,0.004167682780967019,3920,54728,,68,9.65,False,False,False
nn_depth,d=1 s=0,naics_2,33,immigrant,pincp,-0.031002990109508133,0.030784495227900166,-0.09465642468822999,0.07562624189435319,-0.139498171354683,10156,56676,,69,8.75,False,False,False
nn_depth,d=1 s=0,naics_2,33,immigrant,hicov,-0.04499232538424991,-0.009850371751851772,-0.034201327972124385,-0.012741165056399884,-0.03131053466757627,10156,56676,,69,10.31,False,False,False
nn_depth,d=1 s=0,naics_2,3M,sex_female,pincp,-0.3035433700709156,0.0505277842566727,-0.36169794139766864,-0.06130599556207983,-0.2498641615789161,879,1984,,57,1.13,True,False,True
nn_depth,d=1 s=0,naics_2,3M,race_bw,pincp,-0.2366623367706051,0.3231711474451693,-0.5608365403188316,-0.08694589044103651,-0.15071950243262577,323,2116,,56,0.72,True,False,True
nn_depth,d=1 s=0,naics_2,3M,race_bw,hicov,-0.028134455453656892,-0.04747835957048341,0.01960430616667974,-0.0038156946932285107,-0.024058358710575156,323,2116,,56,1.52,False,True,True
nn_depth,d=1 s=0,naics_2,3M,immigrant,pincp,-0.26129086957903347,0.3378296339477327,-0.5929482392948806,-0.11028365564894926,-0.14483494969819866,595,2268,,57,0.98,True,False,True
nn_depth,d=1 s=0,naics_2,3M,immigrant,hicov,-0.10675381263616557,-0.06008854060545643,-0.04650423688438876,-0.0006705639195748736,-0.10592221357027032,595,2268,,57,1.98,False,False,False
nn_depth,d=1 s=0,naics_2,42,sex_female,pincp,-0.2022436858462644,0.03508700041843582,-0.277702580142309,0.004552339853990617,-0.24716791957786377,7903,20186,,63,4.31,False,False,False
nn_depth,d=1 s=0,naics_2,42,race_bw,pincp,-0.37749029566436754,0.00286461403194771,-0.32344872559344573,-0.11477443069276738,-0.20580968086873064,1496,23358,,62,3.37,True,False,True
nn_depth,d=1 s=0,naics_2,42,race_bw,hicov,-0.03178101331838812,-0.04031897849152455,0.007998976581354733,-0.04618312586197704,0.013863123951807221,1496,23358,,62,6.7,False,False,False
nn_depth,d=1 s=0,naics_2,42,immigrant,pincp,-0.2093096720413552,-0.014071697721734111,-0.23253631585624035,-0.018518621882268604,-0.22808939169570586,4233,23856,,63,5.0,False,False,False
nn_depth,d=1 s=0,naics_2,42,immigrant,hicov,-0.08411581584950278,-0.008081090355975151,-0.07363536867140719,-0.01366872735673652,-0.06804773167064582,4233,23856,,63,9.22,False,False,False
nn_depth,d=1 s=0,naics_2,44,sex_female,pincp,-0.25509860736859835,-0.015631644397705813,-0.19200405729565873,-0.03813881640690475,-0.1694968852864598,20205,31547,,63,5.97,False,False,False
