y_name,depth,total_mean,total_min,total_max,explained_mean,unexplained_mean,n_seeds,n_errors,n_params
hicov,1,59.0,54,62,45.0,21.666666666666668,3,0,2636
hicov,2,62.0,58,66,47.333333333333336,21.0,3,0,3692
hicov,3,61.333333333333336,58,64,48.333333333333336,18.333333333333332,3,0,4748
hicov,4,57.666666666666664,52,61,46.333333333333336,17.666666666666668,3,0,5804
hicov,6,51.0,50,52,42.666666666666664,12.666666666666666,3,0,7916
hicov,8,59.333333333333336,56,62,46.333333333333336,19.333333333333332,3,0,10028
hicov,12,60.0,57,63,44.333333333333336,24.333333333333332,3,0,14252
hicov,16,58.0,56,59,44.666666666666664,20.0,3,0,18476
pincp,1,96.33333333333333,95,99,93.0,10.666666666666666,3,0,2615
pincp,2,89.33333333333333,84,96,84.66666666666667,11.0,3,0,3671
pincp,3,87.66666666666667,85,92,82.33333333333333,14.0,3,0,4727
pincp,4,88.33333333333333,87,91,81.33333333333333,16.0,3,0,5783
pincp,6,80.66666666666667,77,86,73.33333333333333,16.333333333333332,3,0,7895
pincp,8,73.33333333333333,66,81,66.33333333333333,14.0,3,0,10007
pincp,12,60.666666666666664,58,64,53.333333333333336,15.666666666666666,3,0,14231
pincp,16,43.0,37,51,37.333333333333336,10.666666666666666,3,0,18455
