sweep,setting,subset_name,subset_value,pop_name,y_name,delta_y,explained_1,unexplained_1,explained_0,unexplained_0,n_1,n_0,error,n_features,seconds,explained_flip,unexplained_flip,any_flip
nn_width,w=8 s=0,naics_2,11,sex_female,pincp,-0.1744283284473535,0.0323969864821638,-0.1271140426025567,0.0194987967767055,-0.1142158528970984,1770,10168,,63,1.61,False,False,False
nn_width,w=8 s=0,naics_2,11,sex_female,hicov,0.0607255730840523,-0.0178309970187174,0.0645996163417996,-0.0039014652063249,0.0506700845294071,1770,10168,,63,3.48,False,False,False
nn_width,w=8 s=0,naics_2,11,race_bw,pincp,-0.3082373735363646,0.8590717899328197,-1.204700488720862,-0.112505082282583,-0.2331236165054591,198,10459,,62,0.87,True,False,True
nn_width,w=8 s=0,naics_2,11,race_bw,hicov,-0.0827700467723414,-0.0886891379049935,0.0038338144395436,-0.106121124837237,0.0212658013717871,198,10459,,62,2.64,False,False,False
nn_width,w=8 s=0,naics_2,11,immigrant,pincp,-0.5044989627739547,-0.1961059945547596,-0.3347227030747177,-0.178444159333857,-0.3523845382956203,2454,9484,,63,1.26,False,False,False
nn_width,w=8 s=0,naics_2,11,immigrant,hicov,-0.2919262296349842,-0.0549022991678856,-0.2383913712024064,-0.0628726975061034,-0.2304209728641886,2454,9484,,63,3.06,False,False,False
nn_width,w=8 s=0,naics_2,21,sex_female,pincp,-0.1566003960737774,0.1906117619516774,-0.3697745906173306,0.1323024153781986,-0.3114652440438519,858,4828,,60,1.08,False,False,False
nn_width,w=8 s=0,naics_2,21,sex_female,hicov,0.029791252657864,-0.0073100496707333,0.0390388649729549,-0.0063525984071015,0.0380814137093231,858,4828,,60,1.26,False,False,False
nn_width,w=8 s=0,naics_2,21,race_bw,pincp,-0.3229724667527538,0.2973686779905868,-0.6743787243976733,-0.1168816674809125,-0.2601283789261739,204,5009,,59,0.72,True,False,True
nn_width,w=8 s=0,naics_2,21,race_bw,hicov,-0.0341111489514952,-0.0140663827118562,-0.016062805525043,-0.0488537019941978,0.0187245137572985,204,5009,,59,1.21,False,True,True
nn_width,w=8 s=0,naics_2,21,immigrant,pincp,0.043406628200957,1.036649463881357,-0.9777293819457552,0.1494909293235018,-0.0905708473878998,538,5148,,60,0.9,False,False,False
nn_width,w=8 s=0,naics_2,21,immigrant,hicov,-0.0291996314301146,0.0115033481084246,-0.0407279546530298,-0.0163639610014187,-0.0128606455431863,538,5148,,60,1.64,True,False,True
nn_width,w=8 s=0,naics_2,22,sex_female,pincp,-0.1649874170588354,0.0938797990388096,-0.264640055352654,0.0446991805359662,-0.2154594368498106,2383,8526,,63,1.25,False,False,False
nn_width,w=8 s=0,naics_2,22,race_bw,pincp,-0.2061253045351154,0.1516332882776314,-0.3312257742443929,-0.0729604083203305,-0.1066320776464309,778,9258,,62,0.86,True,False,True
nn_width,w=8 s=0,naics_2,22,race_bw,hicov,-0.0102283524955281,-0.0160631290829091,0.0107499499655494,-0.01909705346118,0.0137838743438203,778,9258,,62,1.91,False,False,False
nn_width,w=8 s=0,naics_2,22,immigrant,pincp,0.0523698069318125,0.319485510005526,-0.2517556892736685,0.1078644547415628,-0.0401346340097052,791,10118,,63,1.43,False,False,False
nn_width,w=8 s=0,naics_2,22,immigrant,hicov,-0.0441568255645331,-0.0200412285721722,-0.0210788972038747,-0.0130467640888326,-0.0280733616872144,791,10118,,63,3.09,False,False,False
nn_width,w=8 s=0,naics_2,23,sex_female,pincp,-0.0626446456082057,0.0966451766120588,-0.1071985338813252,0.1002019141741925,-0.1107552714434589,5486,50901,,58,1.28,False,False,False
nn_width,w=8 s=0,naics_2,23,sex_female,hicov,0.1001222355222327,0.0203346073603462,0.0943424784977432,0.0332528068264487,0.0814242790316407,5486,50901,,58,4.34,False,False,False
nn_width,w=8 s=0,naics_2,23,race_bw,pincp,-0.2200815585744582,-0.0822219995371931,-0.1377315099296723,-0.0806888797883775,-0.1392646296784878,2207,47852,,57,1.64,False,False,False
nn_width,w=8 s=0,naics_2,23,immigrant,pincp,-0.3207828119526112,-0.1157869406609233,-0.2168365508848992,-0.0985412779914085,-0.234082213554414,11081,45306,,58,1.52,False,False,False
nn_width,w=8 s=0,naics_2,23,immigrant,hicov,-0.3059844323527965,-0.0958102538676951,-0.2055176108454158,-0.0656380748492605,-0.2356897898638504,11081,45306,,58,4.71,False,False,False
nn_width,w=8 s=0,naics_2,31,sex_female,pincp,-0.2629578528630354,-0.0330795835619071,-0.2400669702809654,-0.0475877120620342,-0.2255588417808383,6080,10147,,65,1.73,False,False,False
nn_width,w=8 s=0,naics_2,31,race_bw,pincp,-0.303773085054587,-0.1203228180222595,-0.1977505940211976,-0.1527902465879709,-0.1652831654554862,1704,11987,,64,1.56,False,False,False
nn_width,w=8 s=0,naics_2,31,race_bw,hicov,-0.0154896384228453,-0.0207976236295576,-0.0032481895187248,-0.0313940854487724,0.0073482723004899,1704,11987,,64,4.3,False,True,True
nn_width,w=8 s=0,naics_2,31,immigrant,pincp,-0.3409689008717773,-0.1151325473920614,-0.2250435766020793,-0.0752487721990515,-0.2649273517950892,3768,12459,,65,1.78,False,False,False
nn_width,w=8 s=0,naics_2,31,immigrant,hicov,-0.1232922329188783,-0.0268998287570594,-0.0962319932093564,-0.0438212274904536,-0.0793105944759622,3768,12459,,65,3.51,False,False,False
nn_width,w=8 s=0,naics_2,32,sex_female,pincp,-0.1483579219655748,0.0710382681287722,-0.1671428795880789,0.0513490874989503,-0.1474536989582571,8451,21977,,67,1.92,False,False,False
nn_width,w=8 s=0,naics_2,32,sex_female,hicov,0.0136889112355912,-0.0064481651113154,0.0212176459631648,-0.0068553573561468,0.0216248382079963,8451,21977,,67,3.98,False,False,False
nn_width,w=8 s=0,naics_2,32,race_bw,pincp,-0.2647300616488355,-0.002909510842441,-0.2864800184960501,-0.0887052451098817,-0.2006842842286094,2081,25276,,66,1.78,False,False,False
nn_width,w=8 s=0,naics_2,32,race_bw,hicov,-0.0113178191763412,-0.0101199166156649,0.0006273693593529,-0.0169869401826353,0.0074943929263233,2081,25276,,66,5.3,False,False,False
nn_width,w=8 s=0,naics_2,32,immigrant,pincp,-0.0867301750550115,0.0142829418784611,-0.0509419269767068,0.0530755731642429,-0.0897345582624886,4028,26400,,67,1.83,False,False,False
nn_width,w=8 s=0,naics_2,32,immigrant,hicov,-0.0723373130510668,-0.01357685084543,-0.0541249615255196,-0.0158335454816404,-0.0518682668893092,4028,26400,,67,5.62,False,False,False
nn_width,w=8 s=0,naics_2,33,sex_female,pincp,-0.2637016416912381,-0.0232080880708291,-0.1720216565039045,-0.0300254159165316,-0.1652043286582021,16238,50594,,69,2.35,False,False,False
nn_width,w=8 s=0,naics_2,33,race_bw,pincp,-0.3255411040204272,-0.1065475850714161,-0.2743390564899268,-0.1619377486269488,-0.2189488929343941,3920,54728,,68,3.83,False,False,False
nn_width,w=8 s=0,naics_2,33,race_bw,hicov,-0.0176335882986434,-0.01955997748106,0.0013502518128513,-0.0227444552967699,0.0045347296285611,3920,54728,,68,4.59,False,False,False
nn_width,w=8 s=0,naics_2,33,immigrant,pincp,-0.0310029901095081,0.0640713301366773,-0.1775206848938868,0.0970200692065148,-0.2104694239637243,10156,56676,,69,5.51,False,False,False
nn_width,w=8 s=0,naics_2,33,immigrant,hicov,-0.0449923253842499,-0.0155150910771454,-0.0318443601778132,-0.0123974453868416,-0.034962005868117,10156,56676,,69,9.38,False,False,False
nn_width,w=8 s=0,naics_2,3M,sex_female,pincp,-0.3035433700709156,-0.0010766504875618,-0.3114693775049471,-0.0525773300790088,-0.2599686979135001,879,1984,,57,0.82,False,False,False
nn_width,w=8 s=0,naics_2,3M,race_bw,pincp,-0.2366623367706051,0.3381679627199414,-0.5816456789550681,-0.0934724489884537,-0.1500052672466729,323,2116,,56,0.42,True,False,True
nn_width,w=8 s=0,naics_2,3M,race_bw,hicov,-0.0281344554536568,-0.0494390788347423,0.0193575645628805,-0.013494859675686,-0.0165866545961757,323,2116,,56,1.15,False,True,True
nn_width,w=8 s=0,naics_2,3M,immigrant,pincp,-0.2612908695790334,-0.0401432412247704,-0.232486122969199,-0.0420975715956242,-0.2305317925983452,595,2268,,57,0.67,False,False,False
nn_width,w=8 s=0,naics_2,3M,immigrant,hicov,-0.1067538126361655,-0.0566019237329142,-0.0546973512091231,0.0052047857007361,-0.1165040606427735,595,2268,,57,1.58,True,False,True
nn_width,w=8 s=0,naics_2,42,sex_female,pincp,-0.2022436858462644,0.0332038375356695,-0.2242146809030281,0.0073017475758216,-0.1983125909431802,7903,20186,,63,1.42,False,False,False
nn_width,w=8 s=0,naics_2,42,race_bw,pincp,-0.3774902956643675,-0.0319747090383959,-0.3276874056660972,-0.0990595263874496,-0.2606025883170435,1496,23358,,62,1.53,False,False,False
nn_width,w=8 s=0,naics_2,42,race_bw,hicov,-0.0317810133183881,-0.0376282190709007,0.008119533412442,-0.0405048245958514,0.0109961389373928,1496,23358,,62,3.83,False,False,False
nn_width,w=8 s=0,naics_2,42,immigrant,pincp,-0.2093096720413552,-0.0202653501828145,-0.1499883794991916,-0.0611246630728263,-0.1091290666091797,4233,23856,,63,1.79,False,False,False
nn_width,w=8 s=0,naics_2,42,immigrant,hicov,-0.0841158158495027,-0.0139727328160117,-0.06609205564969,-0.0128281253479001,-0.0672366631178016,4233,23856,,63,4.37,False,False,False
nn_width,w=8 s=0,naics_2,44,sex_female,pincp,-0.2550986073685983,-0.013536275270372,-0.2271482322422979,-0.0292451567589804,-0.2114393507536895,20205,31547,,63,2.39,False,False,False
nn_width,w=8 s=0,naics_2,44,sex_female,hicov,0.0142697382890135,-0.0146683394499415,0.029863390862723,-0.0178321458711804,0.0330271972839619,20205,31547,,63,4.51,False,False,False
nn_width,w=8 s=0,naics_2,44,race_bw,pincp,-0.2186854256968153,-0.0425483046521435,-0.1491563973991887,-0.0719172553713445,-0.1197874466799877,3611,41916,,62,3.32,False,False,False
nn_width,w=8 s=0,naics_2,44,race_bw,hicov,-0.024340170628871,-0.0209602671818746,-0.0034467542142594,-0.0332129554605568,0.0088059340644227,3611,41916,,62,4.59,False,True,True
nn_width,w=8 s=0,naics_2,44,immigrant,pincp,-0.0966553104581713,-0.0284562388911506,-0.062750337270323,0.0300201682894556,-0.1212267444509294,7415,44337,,63,3.68,True,False,True
nn_width,w=8 s=0,naics_2,44,immigrant,hicov,-0.0947676648892088,-0.00081829688264,-0.0927162919439769,-0.010139010386531,-0.0833955784400858,7415,44337,,63,3.45,False,False,False
nn_width,w=8 s=0,naics_2,45,sex_female,pincp,-0.2531629334193876,-0.0548144950378954,-0.2059148636687489,-0.0705825066806618,-0.1901468520259825,10711,10829,,62,1.67,False,False,False
nn_width,w=8 s=0,naics_2,45,sex_female,hicov,0.0121573416968319,-0.0092209923624372,0.013771228857227,-0.0102975709925755,0.0148478074873653,10711,10829,,62,4.83,False,False,False
nn_width,w=8 s=0,naics_2,45,race_bw,pincp,-0.2128505955917941,-0.0867956251169488,-0.1705515177535428,-0.1028087743166086,-0.154538368553883,2034,17052,,61,1.69,False,False,False
nn_width,w=8 s=0,naics_2,45,race_bw,hicov,-0.0231571725424988,-0.017207533921979,-0.0113044896217293,-0.0228957585276989,-0.0056162650160094,2034,17052,,61,2.82,False,False,False
nn_width,w=8 s=0,naics_2,45,immigrant,hicov,-0.0419185400901597,0.008858307450127,-0.0548780611151921,0.0016001377917876,-0.0476198914568527,2784,18756,,62,3.65,False,False,False
nn_width,w=8 s=0,naics_2,48,sex_female,pincp,-0.2127626281945005,0.0533810041730227,-0.292300840695626,0.0430752468707282,-0.2819950833933315,5254,23016,,60,1.33,False,False,False
nn_width,w=8 s=0,naics_2,48,sex_female,hicov,0.030014488853288,-0.0007465003532883,0.0253557971913602,0.0015371006130153,0.0230721962250565,5254,23016,,60,5.65,True,False,True
nn_width,w=8 s=0,naics_2,48,race_bw,pincp,-0.1975090218168489,0.0349444181490365,-0.2996471706377974,-0.1028488990201932,-0.1618538534685676,3689,21206,,59,1.23,True,False,True
nn_width,w=8 s=0,naics_2,48,immigrant,pincp,-0.1939386161273937,-0.068385396982709,-0.0971451637551918,-0.0494498174541053,-0.1160807432837955,4910,23360,,60,1.73,False,False,False
nn_width,w=8 s=0,naics_2,48,immigrant,hicov,-0.0972118858633485,-0.0087395381313681,-0.0903089334879923,-0.0149524936865875,-0.0840959779327729,4910,23360,,60,3.63,False,False,False
nn_width,w=8 s=0,naics_2,49,sex_female,pincp,-0.1236841711204963,-0.0066779320195475,-0.1041142179944447,-0.0242245132959535,-0.0865676367180388,3808,8351,,58,0.79,False,False,False
nn_width,w=8 s=0,naics_2,49,sex_female,hicov,0.014366675001937,-0.0080864722628488,0.0235132843750235,-0.012952978958473,0.0283797910706476,3808,8351,,58,1.86,False,False,False
nn_width,w=8 s=0,naics_2,49,race_bw,pincp,-0.1645443679865152,0.0101837993013784,-0.1870831086110289,-0.0187250828648029,-0.1581742264448475,1973,8563,,57,0.68,True,False,True
nn_width,w=8 s=0,naics_2,49,race_bw,hicov,-0.0164980358748274,-0.0188393482313029,0.0023202395468463,-0.0245375805643647,0.0080184718799081,1973,8563,,57,2.06,False,False,False
nn_width,w=8 s=0,naics_2,49,immigrant,pincp,-0.1716682747562909,0.16083719522892,-0.3382017028108119,-0.0315877211095472,-0.1457767864723447,1836,10323,,58,0.95,True,False,True
nn_width,w=8 s=0,naics_2,49,immigrant,hicov,-0.0865438493521985,-0.0139205521734926,-0.0705626003732029,-0.0025323667842925,-0.081950785762403,1836,10323,,58,3.61,False,False,False
nn_width,w=8 s=0,naics_2,4M,sex_female,pincp,-0.2786318676631705,-0.017706552722112,-0.2650030991878758,-0.0484598463258869,-0.2342498055841009,998,1164,,58,0.55,False,False,False
nn_width,w=8 s=0,naics_2,4M,sex_female,hicov,0.0100458649257277,-0.0046344525564873,0.0143848347654821,-0.0293502506483414,0.0391006328573362,998,1164,,58,1.21,False,False,False
nn_width,w=8 s=0,naics_2,4M,race_bw,pincp,-0.1547939158197504,0.2274221660202862,-0.3736035780666054,-0.0605644736542316,-0.0856169383920875,247,1637,,57,0.5,True,False,True
nn_width,w=8 s=0,naics_2,4M,race_bw,hicov,-0.0309641167436235,-0.0119343640731021,-0.018803400629865,0.010320715154073,-0.0410584798570402,247,1637,,57,0.94,True,False,True
nn_width,w=8 s=0,naics_2,4M,immigrant,pincp,-0.0850289573043419,0.4705039307481904,-0.5510884757595882,-0.0457845627185911,-0.0347999822928066,319,1843,,58,0.49,True,False,True
nn_width,w=8 s=0,naics_2,4M,immigrant,hicov,-0.1349731339627873,-0.033649855085896,-0.1008601716900842,0.0016713741008214,-0.1361814008768016,319,1843,,58,1.18,True,False,True
nn_width,w=8 s=0,naics_2,51,sex_female,pincp,-0.2458908158496964,-0.0487542211317819,-0.2041977815569335,-0.0598847201069325,-0.1930672825817829,7812,12919,,61,1.47,False,False,False
nn_width,w=8 s=0,naics_2,51,race_bw,pincp,-0.2798974797226563,-0.0527871299934439,-0.2056271808358811,-0.136925849551984,-0.121488461277341,1646,16501,,60,1.37,False,False,False
nn_width,w=8 s=0,naics_2,51,race_bw,hicov,-0.0161092265625787,-0.0093360106597533,-0.0021278041002454,-0.0115768006513257,0.0001129858913269,1646,16501,,60,3.36,False,True,True
nn_width,w=8 s=0,naics_2,51,immigrant,pincp,0.2096812989028595,0.2119584959087905,-0.0069762378698996,0.173835074460781,0.0311471835781098,2744,17987,,61,1.73,False,True,True
nn_width,w=8 s=0,naics_2,51,immigrant,hicov,-0.0121845369047713,0.0114165520229841,-0.0254078539286183,0.0046808656888747,-0.0186721675945088,2744,17987,,61,3.04,False,False,False
nn_width,w=8 s=0,naics_2,52,sex_female,pincp,-0.5682567617236298,-0.1872757070384558,-0.4448039876974228,-0.2432479420665814,-0.3888317526692972,29688,23262,,59,2.16,False,False,False
nn_width,w=8 s=0,naics_2,52,race_bw,pincp,-0.3600897281008794,-0.0798544879717138,-0.2680104019378913,-0.1440740482246099,-0.2037908416849951,4183,42821,,58,3.01,False,False,False
nn_width,w=8 s=0,naics_2,52,race_bw,hicov,-0.0146198216133505,-0.0108228717770568,-0.0034594951154652,-0.0119973077985183,-0.0022850590940037,4183,42821,,58,3.14,False,False,False
nn_width,w=8 s=0,naics_2,52,immigrant,pincp,0.1287285211694104,0.1341674925024758,0.0668959395833592,0.0847611298788439,0.1163023022069911,6431,46519,,59,2.11,False,False,False
nn_width,w=8 s=0,naics_2,52,immigrant,hicov,-0.0137136395587099,0.0053177526899076,-0.0201458307531884,6.993647739594877e-05,-0.0148980145406767,6431,46519,,59,4.85,False,False,False
nn_width,w=8 s=0,naics_2,53,sex_female,pincp,-0.2036857199439445,-0.0084703372658392,-0.1656064676721769,-0.0272506263298524,-0.1468261786081637,7356,9663,,59,1.34,False,False,False
nn_width,w=8 s=0,naics_2,53,sex_female,hicov,0.0165280811639358,-0.0064046426446034,0.0180344539425993,-0.0068429301039704,0.0184727414019663,7356,9663,,59,3.55,False,False,False
nn_width,w=8 s=0,naics_2,53,race_bw,pincp,-0.3652212311652238,0.0586318633130158,-0.3604622362958949,-0.1074314551055088,-0.1943989178773701,1331,13771,,58,1.57,True,False,True
nn_width,w=8 s=0,naics_2,53,race_bw,hicov,-0.0225434267429333,-0.019871272089603,-0.0021098003370855,-0.0288064617984987,0.0068253893718102,1331,13771,,58,2.74,False,True,True
nn_width,w=8 s=0,naics_2,53,immigrant,pincp,-0.1641376601354451,0.0453515283635024,-0.2410094969588474,-0.0083929853715201,-0.1872649832238249,2515,14504,,59,1.51,True,False,True
nn_width,w=8 s=0,naics_2,53,immigrant,hicov,-0.0606958360153475,0.0238215335335151,-0.0881391037366633,-0.01096250512652,-0.0533550650766281,2515,14504,,59,3.38,True,False,True
nn_width,w=8 s=0,naics_2,54,sex_female,pincp,-0.3899332779490621,-0.1018686899753404,-0.1436444480593515,-0.0998928450955212,-0.1456202929391707,29018,43958,,60,2.98,False,False,False
nn_width,w=8 s=0,naics_2,54,race_bw,pincp,-0.2660095394753377,-0.0694693377026531,-0.1541908047744833,-0.119559733916013,-0.1041004085611234,3444,58849,,59,4.14,False,False,False
nn_width,w=8 s=0,naics_2,54,race_bw,hicov,-0.0171459558824037,-0.0144118304792351,0.00110564039754,-0.0170051848807173,0.0036989947990222,3444,58849,,59,4.02,False,False,False
nn_width,w=8 s=0,naics_2,54,immigrant,pincp,0.0722182219525429,0.065562625384695,-0.0578121770474453,0.1134868586091926,-0.1057364102719429,12006,60970,,60,5.26,False,False,False
nn_width,w=8 s=0,naics_2,54,immigrant,hicov,-0.0108513372202423,0.0121537624446451,-0.0241744162491626,0.0015564254272896,-0.013577079231807,12006,60970,,60,5.46,False,False,False
