y_name,width,total_mean,total_min,total_max,explained_mean,unexplained_mean,n_seeds,n_errors,n_params
hicov,8,59.0,53,62,40.666666666666664,22.666666666666668,3,0,804
hicov,16,60.0,56,64,43.333333333333336,21.0,3,0,1862
hicov,32,61.333333333333336,58,64,48.333333333333336,18.333333333333332,3,0,4748
hicov,64,66.0,62,69,51.666666666666664,22.0,3,0,13591
hicov,128,72.33333333333333,67,79,57.0,24.0,3,0,43564
hicov,256,72.66666666666667,70,77,56.333333333333336,23.333333333333332,3,0,152664
pincp,8,66.66666666666667,61,73,62.666666666666664,9.333333333333334,3,0,798
pincp,16,88.0,82,92,83.0,10.333333333333334,3,0,1852
pincp,32,87.66666666666667,85,92,82.33333333333333,14.0,3,0,4727
pincp,64,91.66666666666667,88,94,87.33333333333333,12.666666666666666,3,0,13549
pincp,128,91.0,83,95,83.33333333333333,22.333333333333332,3,0,43480
pincp,256,97.33333333333333,94,101,88.33333333333333,22.666666666666668,3,0,152496
