y_name,max_depth,total_flips,explained_flips,unexplained_flips,n_cells,n_errors
hicov,1,47,35,13,183,0
hicov,2,48,37,12,183,0
hicov,3,54,45,10,183,0
hicov,4,56,46,11,183,0
hicov,5,52,45,9,183,0
hicov,6,53,44,11,183,0
hicov,7,54,46,9,183,0
hicov,8,57,45,13,183,0
hicov,9,58,45,15,183,0
hicov,10,60,47,15,183,0
pincp,1,31,29,4,217,0
pincp,2,40,37,6,217,0
pincp,3,34,31,5,217,0
pincp,4,32,26,7,217,0
pincp,5,30,25,6,217,0
pincp,6,28,23,6,217,0
pincp,7,28,25,6,217,0
pincp,8,26,22,7,217,0
pincp,9,24,20,7,217,0
pincp,10,24,20,7,217,0
