y_name,n_estimators,total_flips,explained_flips,unexplained_flips,n_cells,n_errors
hicov,10,22,20,2,183,0
hicov,25,21,16,5,183,0
hicov,50,34,24,11,183,0
hicov,100,51,37,15,183,0
hicov,250,54,45,10,183,0
hicov,500,57,45,13,183,0
hicov,1000,59,49,12,183,0
hicov,2000,58,46,14,183,0
hicov,4000,54,43,15,183,0
hicov,10000,65,51,18,183,0
pincp,10,40,40,1,217,0
pincp,25,38,35,4,217,0
pincp,50,41,38,5,217,0
pincp,100,37,34,6,217,0
pincp,250,34,31,5,217,0
pincp,500,24,21,5,217,0
pincp,1000,27,22,7,217,0
pincp,2000,26,21,9,217,0
pincp,4000,25,22,8,217,0
pincp,10000,26,21,8,217,0
