y_name,algo_name,component,n_fit,is_flip,reject_10,reject_05,reject_01,n_with_se
hicov,gbt,explained,183,45,33,25,16,54
hicov,gbt,unexplained,183,10,1,1,0,54
hicov,glm,explained,183,45,28,23,14,62
hicov,glm,unexplained,183,18,3,2,0,62
hicov,glm_r,explained,183,50,31,24,16,63
hicov,glm_r,unexplained,183,17,4,3,0,63
hicov,net,explained,183,51,0,0,0,0
hicov,net,unexplained,183,21,0,0,0,0
hicov,ols,explained,183,52,37,31,23,65
hicov,ols,unexplained,183,15,2,1,0,65
pincp,gbt,explained,217,31,15,14,11,34
pincp,gbt,unexplained,217,5,4,3,2,34
pincp,net,explained,217,83,0,0,0,0
pincp,net,unexplained,217,12,0,0,0,0
pincp,ols,explained,217,21,11,9,6,33
pincp,ols,unexplained,217,13,5,4,2,33
hicov,gbt,either,183,54,34,26,16,54
hicov,glm,either,183,62,31,25,14,62
hicov,glm_r,either,183,63,33,26,16,63
hicov,net,either,183,65,0,0,0,0
hicov,ols,either,183,65,38,32,23,65
pincp,gbt,either,217,34,18,16,12,34
pincp,net,either,217,87,0,0,0,0
pincp,ols,either,217,33,16,13,8,33
