y_name,algo_name,component,n_fit,is_flip,reject_10,reject_05,reject_01,n_with_se
hicov,gbt,explained,183,42,0,0,0,0
hicov,gbt,unexplained,183,13,0,0,0,0
hicov,glm,explained,183,37,0,0,0,0
hicov,glm,unexplained,183,15,0,0,0,0
hicov,glm_r,explained,183,48,0,0,0,0
hicov,glm_r,unexplained,183,18,0,0,0,0
hicov,net,explained,183,50,0,0,0,0
hicov,net,unexplained,183,22,0,0,0,0
hicov,ols,explained,183,49,0,0,0,0
hicov,ols,unexplained,183,15,0,0,0,0
pincp,gbt,explained,217,30,0,0,0,0
pincp,gbt,unexplained,217,4,0,0,0,0
pincp,net,explained,217,93,0,0,0,0
pincp,net,unexplained,217,10,0,0,0,0
pincp,ols,explained,217,18,0,0,0,0
pincp,ols,unexplained,217,14,0,0,0,0
hicov,gbt,either,183,54,0,0,0,0
hicov,glm,either,183,50,0,0,0,0
hicov,glm_r,either,183,60,0,0,0,0
hicov,net,either,183,65,0,0,0,0
hicov,ols,either,183,62,0,0,0,0
pincp,gbt,either,217,32,0,0,0,0
pincp,net,either,217,99,0,0,0,0
pincp,ols,either,217,30,0,0,0,0
